what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1340218332167
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1340218341061
started,bundle,org.eclipse.jst.ws.jaxws.dom.integration,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.integration",1340218341084
started,bundle,org.eclipse.jst.ws.jaxws.dom.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.ui",1340218341094
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.202.v201004211732,"org.eclipse.wst.ws.service.policy.ui",1340218347988
started,bundle,org.eclipse.wst.ws.service.policy,1.0.204.v201011011834,"org.eclipse.wst.ws.service.policy",1340218348004
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1340218348077
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1340218348092
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1340218351069
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.export",1340218408093
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.export",1340218408093
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1340218408140
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1340218409805
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1340218590965
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1340218595090
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1340218597367
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1340218599045
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1340219491167
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1340219492422
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1340219542579
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1340219546606
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1340219547643
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1340219552204
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1340219556097
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.export",1340219570370
